Month,Value
2019-03-01,158.568
2019-04-01,119.442
2019-05-01,115.108
2019-06-01,114.389
2019-07-01,129.378
2019-08-01,131.498
2019-09-01,119.114
2019-10-01,124.541
2019-11-01,150.69
2019-12-01,171.82
2020-01-01,179.789
2020-02-01,165.58
2020-03-01,147.07
2020-04-01,121.789
2020-05-01,111.666
2020-06-01,114.768
2020-07-01,133.083
2020-08-01,129.468
2020-09-01,115.91
2020-10-01,124.821
2020-11-01,131.731
2020-12-01,172.204
2021-01-01,178.4
2021-02-01,164.96
2021-03-01,141.453
2021-04-01,120.799
2021-05-01,112.892
2021-06-01,119.647
2021-07-01,128.985
2021-08-01,130.237
2021-09-01,113.889
2021-10-01,120.761
2021-11-01,143.77
2021-12-01,161.27
2022-01-01,194.739
